encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,power_mean_encoder,power_mean_decoder,power_std_encoder,power_std_decoder
640,6,1792,5.33333333333333,640,2,768,8,6,1,43.91075,48.7387422986892,0.690781939181967,0.383890800700817
512,6,1024,4,512,2,1024,3,4,2,42.842375,47.9017310034977,0.521416198024668,0.245074827062762
640,6,1621.33333333333,3.66666666666667,512,6,1194.66666666667,5,4,2,43.9437604166667,47.5584253256209,0.692752831825756,0.152688726881782
640,6,1962.66666666667,4.66666666666667,640,5,1228.8,6.4,4.8,3,43.0332469494048,48.6559991883412,0.902598049783196,0.225870984947585
512,6,1706.66666666667,2.66666666666667,640,1,3072,4,4,2,43.2791666666667,53.1979096012762,0.433469212470416,2.50981834008348
512,6,1621.33333333333,2.66666666666667,640,3,1194.66666666667,4,3.33333333333333,2.33333333333333,43.4024635416667,48.5667580319347,0.370684264243298,0.222749094470967
640,6,1536,5,640,6,1365.33333333333,5,4.33333333333333,1.16666666666667,44.3665208333333,48.5167288839922,0.57393468909254,0.257044528690927
640,6,1280,2.66666666666667,640,6,1280,4.66666666666667,5,1.66666666666667,43.4461041666667,48.7363862359817,0.398285626828529,0.344987004869618
640,6,2133.33333333333,3,512,5,1228.8,4.4,3.2,2,44.42225,47.0686454624885,0.751039737630439,0.218651919670172
512,6,1962.66666666667,7,512,6,1536,5.66666666666667,4.33333333333333,1.33333333333333,43.4061875,47.449505447207,0.285162145487002,0.311497270307887
640,6,1621.33333333333,6.66666666666667,512,6,1706.66666666667,4.66666666666667,5.66666666666667,2.16666666666667,43.9915104166667,47.6922207539959,0.479324776337441,0.219332077548535
640,6,1877.33333333333,5,512,4,1664,4,5.5,1.5,44.4487291666667,48.008909920048,0.786864728057126,0.468631706795737
