encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,energy_mean_encoder,energy_mean_decoder,energy_std_encoder,energy_std_decoder
512,6,2304,3,640,2,2560,2,8,2.5,0.850341355291694,7.96235212448824,0.059335113075818,0.265630749490285
640,6,1706.66666666667,5.33333333333333,640,6,2048,4.66666666666667,5.33333333333333,2,0.891630727824098,14.1800557031091,0.047762407990521,0.388340087457622
640,6,1194.66666666667,5.33333333333333,512,6,1536,4.33333333333333,6.33333333333333,2.33333333333333,0.82603865873003,13.7174994371208,0.160405008464513,0.349933224502348
640,6,2218.66666666667,3.33333333333333,640,6,1877.33333333333,4.66666666666667,3.66666666666667,1.16666666666667,0.829109415284723,13.7735344430766,0.135333734289139,0.261972962498195
640,6,1621.33333333333,5,512,3,2048,5.33333333333333,3.33333333333333,1,0.600691078231931,9.6228200578368,0.040448783415784,0.432285845774572
512,6,1706.66666666667,4.66666666666667,640,5,716.8,4,4.8,2,0.873861248936296,12.8105622572725,0.008028096350121,0.329940227089393
512,6,1706.66666666667,6.33333333333333,512,6,2133.33333333333,3,4.66666666666667,1.66666666666667,0.657031022503492,13.6098301102755,0.143543078245772,0.197919185028882
640,6,1109.33333333333,5.33333333333333,640,2,768,3,5,1.5,0.605358664835989,7.78611013309317,0.033346209417507,0.2272030798285
512,6,1706.66666666667,5,640,5,1024,5.2,4.4,1.6,0.874977213908374,12.8872440242584,0.107998406231648,0.207566551720883
640,6,1962.66666666667,4.66666666666667,640,4,1280,6,5.5,1.5,0.884023868936658,10.7413324120855,0.086731457960489,0.141979148010484
640,6,1621.33333333333,4.33333333333333,512,5,1433.6,3.6,4.4,2,0.600300142390311,12.7569850425138,0.030683359829409,0.44957271860214
512,6,1706.66666666667,5.66666666666667,640,2,768,3,3,1.5,0.599730430779457,7.87527571516951,0.03355343206954,0.330028268226613
640,6,1621.33333333333,4.33333333333333,512,4,1536,7,5,2,0.753784072529097,10.534999611471,0.118657695453337,0.191679949127239
640,6,1792,5,512,3,1365.33333333333,8,4.66666666666667,2,0.740371162575165,10.051908395521,0.150580853155337,0.134086781529548
512,6,938.666666666667,3.33333333333333,640,5,2150.4,5.6,5.2,2.2,0.761358740305483,13.1026172639205,0.116315189184925,0.235394271382558
640,6,1706.66666666667,4,512,2,1536,6,3,2.5,0.861662627899249,7.49999365750055,0.14632303076564,0.212536225037323
512,6,1536,6.33333333333333,640,4,2304,4.5,4,2.25,0.692582204231381,11.0403412464528,0.106902819958915,0.182400933691061
512,6,1280,5.66666666666667,640,1,1024,2,8,3,0.594581218594015,4.58015459713494,0.029791554767074,0.253679581668838
640,6,853.333333333333,5.66666666666667,640,6,1706.66666666667,4.66666666666667,6,1.83333333333333,0.650412216928174,14.0141547885726,0.072533322084396,0.303744692568641
512,6,768,5.33333333333333,640,4,1920,6,5.5,2.25,0.825463541380078,11.0169361395371,0.042130375319668,0.254261670784
512,6,2474.66666666667,4.66666666666667,512,2,768,6,5,1,0.650074398155987,7.73461076766282,0.099949567008448,0.294639936810892
640,6,1962.66666666667,4.66666666666667,512,2,1280,6,3,2,0.72904325967737,7.6711938725626,0.106898394715167,0.178323393133044
512,6,1962.66666666667,4,640,6,1280,4.33333333333333,4.66666666666667,1.66666666666667,0.725983299920112,13.632346770609,0.112687379632606,0.35668662969
640,6,2304,5.33333333333333,640,4,1152,4.5,5.5,1.5,0.872800248638213,11.2220427945621,0.141021537987738,0.492131345150626
640,6,2048,3.66666666666667,640,1,512,8,4,3,0.617772314901054,5.88054116643902,0.057380903419792,1.09090371023228
640,6,2048,5,640,2,1792,5,6,1,0.81326463189742,8.43941117386006,0.108139937135483,0.698092501293236
640,6,1450.66666666667,5.33333333333333,512,2,1536,2,5,1.5,0.599798832663119,7.69456153860045,0.027112418574229,0.438839566299101
512,6,1280,5,640,4,1792,7,3.5,2.5,0.615755133183479,11.8267278456615,0.07021715946168,0.54105460457633
512,6,1450.66666666667,5.33333333333333,512,3,1365.33333333333,6,5.33333333333333,1.66666666666667,0.654123014679819,10.1175180683733,0.074901534464978,0.188680563781875
640,6,1194.66666666667,4.66666666666667,640,1,2048,2,8,2,0.586912384571433,5.89553470168806,0.023039337193463,1.24399701833386
512,6,1621.33333333333,6,512,2,2560,4,8,2.5,0.73784154903724,8.05787550327903,0.13229896946814,0.363515481574156
640,6,1024,6.33333333333333,640,6,1536,3.33333333333333,4.33333333333333,2.66666666666667,0.801866120833357,15.6853110232612,0.124658560503991,0.496143838045499
640,6,1536,5.66666666666667,640,5,1024,3.6,4.4,1.4,0.861595725471869,13.1865372774981,0.205734233029102,0.147240552042759
512,6,1877.33333333333,4,640,4,1152,2.5,4,2,0.907428581182007,10.8950925806567,0.086239086943525,0.189202085116108
512,6,1792,4.33333333333333,640,3,1536,3.33333333333333,3.33333333333333,1.66666666666667,0.826511142004251,10.4203684371379,0.098925718120436,0.10306076694909
640,6,938.666666666667,3.66666666666667,512,2,1792,8,3,1,0.89434471469865,7.69568581788088,0.0821067010697,0.211354869415006
