encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,l1d_size,l1i_size,l2_size,l3_size,num_cores,l1d_misses,l1i_misses,l2_misses,l3_misses
640,6,1536,5.3333333333,640,4,2816,3.5,2.5,2,64,64,512,8192,1,20375717,10471190,11261650,2816572
640,6,1365.3333333333,3.6666666667,512,6,2133.3333333333,5.3333333333,4,1.6666666667,32,32,256,4096,1,29046359,26157507,18342346,3537606
640,6,1877.3333333333,4.3333333333,640,1,3072,4,8,2,64,64,512,8192,1,20384160,10465568,11343347,2816017
512,6,1450.6666666667,5,512,6,1962.6666666667,5.3333333333,6.3333333333,1.3333333333,32,32,512,4096,1,28773378,25722706,10806582,3561431
640,6,2560,4.3333333333,512,2,2560,5,3,2,32,32,256,4096,1,29173542,26207044,18404577,3536259
512,6,1194.6666666667,5,640,5,1536,6,2.4,1.8,32,32,512,4096,1,28715184,25699470,10765131,3560424
512,6,1706.6666666667,5.6666666667,640,5,1945.6,5.2,4,1.8,32,32,512,4096,1,28680094,25667583,10750981,3558893
512,6,1706.6666666667,3,640,5,1638.4,6.4,3.6,2,64,64,512,8192,1,20447806,10478447,11308864,2815622
512,6,1621.3333333333,5,512,6,1706.6666666667,4.3333333333,3,1.8333333333,64,64,512,8192,1,20313275,10475795,11243714,2816687
512,6,1536,5,640,3,1877.3333333333,4,3.3333333333,2.6666666667,32,32,512,4096,1,28648406,25669303,10724941,3564397
512,6,2133.3333333333,4.6666666667,512,3,2218.6666666667,6,5.3333333333,1.3333333333,32,32,256,4096,1,29091688,26238305,18376855,3536937
512,6,1621.3333333333,4.3333333333,640,5,1433.6,4.8,5.6,2.4,64,64,512,8192,1,20322687,10465982,11288814,2816470
512,6,1792,4,512,5,1843.2,5.6,5.6,2,64,64,512,8192,1,20281358,10470479,11275534,2817680
640,6,1450.6666666667,4,640,6,1877.3333333333,3.6666666667,4.6666666667,2,64,64,512,8192,1,20172239,10463099,11211877,2816786
640,6,1194.6666666667,3,640,4,1408,3.5,5,1.5,32,32,512,4096,1,29017098,25775778,10680244,3563224
